정류장 번호,권종,거래건수
1002,어린이,259
1002,어린이,62
1002,어린이,2
1002,일반,5098
1002,일반,5274
1002,일반,173
1002,청소년,709
1002,청소년,230
1002,청소년,18
1003,어린이,1357
1003,어린이,12
1003,어린이,5
1003,일반,62773
1003,일반,1040
1003,일반,635
1003,청소년,3689
1003,청소년,54
1003,청소년,48
1004,어린이,999
1004,어린이,94
1004,어린이,25
1004,일반,62606
1004,일반,20636
1004,일반,10237
1004,청소년,4783
1004,청소년,548
1004,청소년,532
1005,어린이,470
1005,어린이,86
1005,어린이,33
1005,일반,59803
1005,일반,12977
1005,일반,8987
1005,청소년,3246
1005,청소년,753
1005,청소년,560
1006,어린이,7
1006,어린이,9
1006,어린이,4
1006,일반,2143
1006,일반,164
1006,일반,62
1006,청소년,23
1006,청소년,6
1006,청소년,1
1007,어린이,3
1007,어린이,1
1007,일반,206
1007,일반,209
1007,일반,61
1007,청소년,4
1007,청소년,4
1007,청소년,2
1007,어린이,1
1008,어린이,7
1008,어린이,1
1008,일반,1129
1008,일반,124
1008,일반,52
1008,청소년,6
1008,청소년,3
1008,청소년,2
1008,일반,50
1009,일반,390
1009,일반,3
1009,청소년,2
1009,청소년,2
1009,청소년,1
1009,어린이,198
1009,어린이,98
1009,어린이,2
1009,일반,5462
1010,일반,15211
1010,일반,239
1010,청소년,1538
1010,청소년,1219
1010,청소년,31
1010,어린이,670
1010,어린이,49
1010,어린이,2
1010,일반,28812
1011,일반,4761
1011,일반,1035
1011,청소년,4309
1011,청소년,273
1011,청소년,110
1011,어린이,1366
1011,어린이,377
1011,어린이,27
1012,일반,30688
1012,일반,6003
1012,일반,2801
1012,청소년,10814
1012,청소년,932
1012,청소년,296
1012,어린이,4063
1012,어린이,159
1013,어린이,36
1013,일반,25013
1013,일반,19715
1013,일반,1442
1013,청소년,16933
1013,청소년,1798
1013,청소년,185
1013,어린이,739
1013,어린이,14
1014,어린이,7
1014,일반,38696
1014,일반,3453
1014,일반,902
1014,청소년,6157
1014,청소년,97
1014,청소년,61
1014,어린이,12
1014,어린이,58
1015,어린이,1
1015,일반,1310
1015,일반,9916
1015,일반,142
1015,청소년,64
1015,청소년,544
1015,청소년,6
1015,어린이,523
1015,어린이,163
1016,어린이,6
1016,일반,29416
1016,일반,18102
1016,일반,2449
1016,청소년,6008
1016,청소년,1596
1016,청소년,150
1016,어린이,3010
1016,어린이,188
1017,어린이,48
1017,일반,154941
1017,일반,24399
1017,일반,8921
1017,청소년,14117
1017,청소년,1753
1017,청소년,851
1017,어린이,2144
1017,어린이,214
1018,어린이,51
1018,일반,53118
1018,일반,26004
1018,일반,5992
1018,청소년,10484
1018,청소년,972
1018,청소년,412
1018,어린이,323
1018,어린이,5
1019,어린이,1
1019,일반,8094
1019,일반,135
1019,일반,20
1019,청소년,1126
1019,청소년,17
1019,청소년,3
1019,어린이,125
1020,어린이,9
1020,어린이,3
1020,일반,991
1020,일반,851
1020,일반,18
1020,청소년,788
1020,청소년,22
1020,청소년,5
1020,어린이,948
1021,어린이,199
1021,어린이,59
1021,일반,20036
1021,일반,22422
1021,일반,2130
1021,청소년,4236
1021,청소년,1232
1021,청소년,312
1021,어린이,1589
1022,어린이,175
1022,어린이,38
1022,일반,62086
1022,일반,6240
1022,일반,1557
1022,청소년,11772
1022,청소년,610
1022,청소년,183
1022,어린이,3
1023,어린이,1
1023,일반,1831
1023,일반,197
1023,일반,14
1023,청소년,207
1023,청소년,4
1023,청소년,1
1023,어린이,1
1024,어린이,1
1024,일반,1
1024,일반,1203
1024,청소년,7
1024,어린이,40
1024,일반,7668
1024,일반,2
1024,일반,12
1024,청소년,331
1025,어린이,1
1025,일반,21
1025,일반,972
1025,청소년,3
1025,청소년,10
1025,어린이,25
1025,일반,10454
1025,일반,61
1025,일반,17
1026,청소년,328
1026,청소년,2
1026,청소년,1
1026,어린이,3
1026,일반,933
1026,일반,95
1026,일반,1
1026,청소년,15
1026,어린이,2
1027,어린이,1
1027,일반,647
1027,일반,75
1027,일반,1
1027,청소년,18
1027,어린이,1
1027,일반,39
1027,일반,192
1027,청소년,1
1028,어린이,32
1028,일반,780
1028,일반,36
1028,일반,8
1028,청소년,20
1028,어린이,2
1028,일반,438
1028,일반,36
1028,청소년,23
1029,일반,23
1029,일반,24
1029,일반,11
1029,일반,1
1029,일반,39
1029,어린이,2
1029,일반,10
1029,일반,198
1029,일반,1
1030,청소년,19
1030,어린이,2
1030,일반,489
1030,일반,22
1030,일반,3
1030,청소년,18
1030,청소년,1
1030,일반,7
1030,일반,166
1031,청소년,1
1031,어린이,3
1031,일반,129
1031,일반,7
1031,일반,1
1031,청소년,48
1031,일반,5
1031,일반,90
1031,어린이,1
1032,일반,975
1032,일반,8
1032,청소년,6
1032,어린이,1
1032,어린이,1
1032,일반,102
1032,일반,108
1032,청소년,2
1032,청소년,2
1033,일반,76
1033,일반,20
1033,일반,1
1033,청소년,1
1033,어린이,505
1033,어린이,160
1033,어린이,7
1033,일반,13644
1033,일반,21867
1034,일반,413
1034,청소년,1584
1034,청소년,936
1034,청소년,35
1034,어린이,220
1034,어린이,220
1034,어린이,136
1034,일반,11632
1034,일반,12453
1035,일반,5992
1035,청소년,2273
1035,청소년,389
1035,청소년,520
1035,어린이,1633
1035,어린이,2
1035,어린이,9
1035,일반,76088
1036,일반,589
1036,일반,1187
1036,청소년,9645
1036,청소년,44
1036,청소년,116
1036,어린이,11
1036,어린이,77
1036,어린이,3
1036,일반,1505
1037,일반,7038
1037,일반,136
1037,청소년,75
1037,청소년,159
1037,청소년,3
1037,어린이,32
1037,어린이,29
1037,일반,209
1037,일반,2275
1038,일반,77
1038,청소년,50
1038,청소년,93
1038,청소년,4
1038,어린이,433
1038,어린이,12
1038,어린이,3
1038,일반,12196
1038,일반,490
1039,일반,506
1039,청소년,767
1039,청소년,34
1039,청소년,15
1039,어린이,276
1039,어린이,91
1039,어린이,14
1039,일반,17053
1039,일반,6287
1040,일반,800
1040,청소년,2841
1040,청소년,200
1040,청소년,48
1040,어린이,5
1040,일반,63
